Trial  | True     | Pred     | Conf   | Result
----------------------------------------------------------------------
#1     | Left     | Left     | 0.59   | ✅
#2     | Right    | Right    | 1.00   | ✅
#3     | Right    | Right    | 1.00   | ✅
#4     | Left     | Left     | 0.48   | ✅
#5     | Right    | Right    | 0.80   | ✅
#6     | Left     | Left     | 1.00   | ✅
#7     | Right    | Right    | 0.99   | ✅
#8     | Foot     | Left     | 0.79   | ❌
#9     | Right    | Right    | 0.99   | ✅
#10    | Tongue   | Right    | 0.61   | ❌
#11    | Left     | Left     | 1.00   | ✅
#12    | Foot     | Left     | 0.96   | ❌
#13    | Right    | Right    | 0.99   | ✅
#14    | Left     | Left     | 0.76   | ✅
#15    | Tongue   | Tongue   | 1.00   | ✅
#16    | Tongue   | Tongue   | 1.00   | ✅
#17    | Tongue   | Tongue   | 1.00   | ✅
#18    | Tongue   | Tongue   | 0.98   | ✅
#19    | Tongue   | Tongue   | 0.93   | ✅
#20    | Left     | Left     | 0.98   | ✅
#21    | Foot     | Foot     | 1.00   | ✅
#22    | Right    | Foot     | 0.76   | ❌
#23    | Left     | Foot     | 0.50   | ❌
#24    | Left     | Left     | 1.00   | ✅
#25    | Foot     | Foot     | 0.79   | ✅
#26    | Tongue   | Tongue   | 1.00   | ✅
#27    | Left     | Left     | 0.99   | ✅
#28    | Foot     | Foot     | 1.00   | ✅
#29    | Foot     | Foot     | 0.72   | ✅
#30    | Foot     | Foot     | 0.98   | ✅
#31    | Left     | Left     | 1.00   | ✅
#32    | Right    | Right    | 0.96   | ✅
#33    | Left     | Left     | 1.00   | ✅
#34    | Right    | Right    | 1.00   | ✅
#35    | Right    | Right    | 0.86   | ✅
#36    | Left     | Left     | 0.98   | ✅
#37    | Right    | Right    | 0.79   | ✅
#38    | Foot     | Left     | 0.80   | ❌
#39    | Right    | Right    | 0.95   | ✅
#40    | Foot     | Foot     | 0.81   | ✅
#41    | Foot     | Foot     | 1.00   | ✅
#42    | Tongue   | Foot     | 0.53   | ❌
#43    | Foot     | Right    | 0.72   | ❌
#44    | Foot     | Right    | 0.87   | ❌
#45    | Tongue   | Tongue   | 1.00   | ✅
#46    | Tongue   | Tongue   | 0.95   | ✅
#47    | Tongue   | Tongue   | 0.99   | ✅
#48    | Tongue   | Tongue   | 1.00   | ✅
#49    | Tongue   | Right    | 0.58   | ❌
#50    | Foot     | Foot     | 0.95   | ✅
#51    | Right    | Right    | 1.00   | ✅
#52    | Left     | Tongue   | 0.63   | ❌
#53    | Left     | Left     | 0.75   | ✅
#54    | Right    | Right    | 1.00   | ✅
#55    | Foot     | Foot     | 0.99   | ✅
#56    | Tongue   | Tongue   | 0.84   | ✅
#57    | Right    | Right    | 1.00   | ✅
#58    | Foot     | Right    | 0.99   | ❌
#59    | Left     | Left     | 1.00   | ✅
#60    | Left     | Left     | 1.00   | ✅
#61    | Left     | Left     | 0.99   | ✅
#62    | Tongue   | Tongue   | 0.99   | ✅
#63    | Right    | Tongue   | 0.93   | ❌
#64    | Right    | Right    | 1.00   | ✅
#65    | Left     | Left     | 1.00   | ✅
#66    | Left     | Left     | 1.00   | ✅
#67    | Foot     | Foot     | 0.98   | ✅
#68    | Left     | Foot     | 0.99   | ❌
#69    | Right    | Right    | 0.99   | ✅
#70    | Tongue   | Tongue   | 1.00   | ✅
#71    | Tongue   | Foot     | 0.67   | ❌
#72    | Foot     | Foot     | 0.77   | ✅
#73    | Left     | Left     | 1.00   | ✅
#74    | Tongue   | Tongue   | 0.99   | ✅
#75    | Tongue   | Tongue   | 0.79   | ✅
#76    | Right    | Right    | 0.69   | ✅
#77    | Tongue   | Tongue   | 1.00   | ✅
#78    | Tongue   | Right    | 0.44   | ❌
#79    | Right    | Right    | 1.00   | ✅
#80    | Left     | Left     | 1.00   | ✅
#81    | Right    | Right    | 0.99   | ✅
#82    | Foot     | Right    | 0.94   | ❌
#83    | Foot     | Foot     | 1.00   | ✅
#84    | Foot     | Foot     | 0.99   | ✅
#85    | Tongue   | Tongue   | 0.84   | ✅
#86    | Foot     | Foot     | 0.99   | ✅
#87    | Left     | Foot     | 0.74   | ❌
#88    | Tongue   | Foot     | 0.96   | ❌
#89    | Right    | Right    | 0.86   | ✅
#90    | Foot     | Foot     | 0.56   | ✅
#91    | Right    | Right    | 0.93   | ✅
#92    | Foot     | Foot     | 0.85   | ✅
#93    | Tongue   | Tongue   | 1.00   | ✅
#94    | Right    | Right    | 0.99   | ✅
#95    | Foot     | Foot     | 0.99   | ✅
#96    | Left     | Left     | 0.94   | ✅
#97    | Left     | Left     | 0.78   | ✅
#98    | Left     | Left     | 1.00   | ✅
#99    | Tongue   | Tongue   | 0.99   | ✅
#100   | Right    | Foot     | 0.69   | ❌
#101   | Left     | Left     | 0.77   | ✅
#102   | Foot     | Foot     | 1.00   | ✅
#103   | Left     | Left     | 0.98   | ✅
#104   | Foot     | Foot     | 0.92   | ✅
#105   | Right    | Foot     | 0.85   | ❌
#106   | Tongue   | Tongue   | 1.00   | ✅
#107   | Left     | Foot     | 0.76   | ❌
#108   | Foot     | Foot     | 1.00   | ✅
#109   | Foot     | Foot     | 1.00   | ✅
#110   | Left     | Left     | 0.97   | ✅
#111   | Foot     | Foot     | 1.00   | ✅
#112   | Right    | Right    | 0.99   | ✅
#113   | Tongue   | Tongue   | 0.88   | ✅
#114   | Tongue   | Right    | 0.63   | ❌
#115   | Tongue   | Foot     | 0.85   | ❌
#116   | Foot     | Foot     | 1.00   | ✅
#117   | Left     | Left     | 0.99   | ✅
#118   | Tongue   | Left     | 0.58   | ❌
#119   | Right    | Right    | 0.99   | ✅
#120   | Tongue   | Tongue   | 1.00   | ✅
#121   | Right    | Right    | 0.54   | ✅
#122   | Left     | Left     | 1.00   | ✅
#123   | Foot     | Foot     | 0.99   | ✅
#124   | Right    | Right    | 1.00   | ✅
#125   | Left     | Left     | 0.89   | ✅
#126   | Foot     | Foot     | 0.86   | ✅
#127   | Foot     | Foot     | 1.00   | ✅
#128   | Left     | Left     | 0.98   | ✅
#129   | Foot     | Foot     | 0.95   | ✅
#130   | Tongue   | Left     | 0.87   | ❌
#131   | Tongue   | Foot     | 0.67   | ❌
#132   | Right    | Right    | 0.99   | ✅
#133   | Left     | Left     | 1.00   | ✅
#134   | Right    | Left     | 0.81   | ❌
#135   | Tongue   | Tongue   | 1.00   | ✅
#136   | Right    | Right    | 1.00   | ✅
#137   | Tongue   | Tongue   | 0.99   | ✅
#138   | Foot     | Foot     | 1.00   | ✅
#139   | Right    | Right    | 0.98   | ✅
#140   | Right    | Right    | 1.00   | ✅
#141   | Right    | Right    | 0.98   | ✅
#142   | Foot     | Foot     | 1.00   | ✅
#143   | Tongue   | Tongue   | 1.00   | ✅
#144   | Left     | Left     | 1.00   | ✅
#145   | Right    | Right    | 0.96   | ✅
#146   | Tongue   | Tongue   | 1.00   | ✅
#147   | Left     | Foot     | 0.71   | ❌
#148   | Foot     | Foot     | 1.00   | ✅
#149   | Foot     | Foot     | 1.00   | ✅
#150   | Tongue   | Tongue   | 1.00   | ✅
#151   | Left     | Left     | 1.00   | ✅
#152   | Left     | Left     | 0.98   | ✅
#153   | Foot     | Foot     | 1.00   | ✅
#154   | Right    | Right    | 1.00   | ✅
#155   | Tongue   | Right    | 0.96   | ❌
#156   | Tongue   | Tongue   | 0.97   | ✅
#157   | Tongue   | Tongue   | 1.00   | ✅
#158   | Right    | Right    | 0.98   | ✅
#159   | Left     | Left     | 0.99   | ✅
#160   | Foot     | Foot     | 0.99   | ✅
#161   | Right    | Right    | 0.98   | ✅
#162   | Tongue   | Tongue   | 1.00   | ✅
#163   | Left     | Left     | 0.98   | ✅
#164   | Tongue   | Tongue   | 0.99   | ✅
#165   | Foot     | Foot     | 1.00   | ✅
#166   | Right    | Right    | 1.00   | ✅
#167   | Tongue   | Tongue   | 1.00   | ✅
#168   | Tongue   | Tongue   | 0.62   | ✅
#169   | Left     | Foot     | 0.55   | ❌
#170   | Right    | Right    | 1.00   | ✅
#171   | Right    | Right    | 0.94   | ✅
#172   | Foot     | Foot     | 1.00   | ✅
#173   | Tongue   | Tongue   | 1.00   | ✅
#174   | Right    | Right    | 1.00   | ✅
#175   | Left     | Left     | 1.00   | ✅
#176   | Left     | Left     | 1.00   | ✅
#177   | Tongue   | Tongue   | 0.98   | ✅
#178   | Right    | Right    | 0.75   | ✅
#179   | Left     | Tongue   | 0.77   | ❌
#180   | Foot     | Right    | 0.93   | ❌
#181   | Right    | Tongue   | 0.90   | ❌
#182   | Right    | Right    | 0.99   | ✅
#183   | Foot     | Foot     | 1.00   | ✅
#184   | Left     | Left     | 1.00   | ✅
#185   | Tongue   | Tongue   | 0.93   | ✅
#186   | Foot     | Foot     | 1.00   | ✅
#187   | Foot     | Foot     | 0.60   | ✅
#188   | Foot     | Foot     | 0.94   | ✅
