Trial  | True     | Pred     | Conf   | Result
----------------------------------------------------------------------
#1     | Left     | Left     | 0.98   | ✅
#2     | Right    | Right    | 1.00   | ✅
#3     | Right    | Right    | 1.00   | ✅
#4     | Left     | Left     | 1.00   | ✅
#5     | Right    | Right    | 1.00   | ✅
#6     | Left     | Left     | 1.00   | ✅
#7     | Right    | Right    | 1.00   | ✅
#8     | Foot     | Right    | 1.00   | ❌
#9     | Right    | Right    | 1.00   | ✅
#10    | Tongue   | Right    | 0.59   | ❌
#11    | Left     | Left     | 0.99   | ✅
#12    | Foot     | Right    | 1.00   | ❌
#13    | Right    | Right    | 1.00   | ✅
#14    | Left     | Left     | 0.97   | ✅
#15    | Tongue   | Tongue   | 0.99   | ✅
#16    | Tongue   | Tongue   | 1.00   | ✅
#17    | Tongue   | Tongue   | 1.00   | ✅
#18    | Tongue   | Tongue   | 0.99   | ✅
#19    | Tongue   | Tongue   | 0.99   | ✅
#20    | Left     | Left     | 0.97   | ✅
#21    | Foot     | Right    | 1.00   | ❌
#22    | Right    | Right    | 1.00   | ✅
#23    | Left     | Left     | 0.99   | ✅
#24    | Left     | Left     | 0.99   | ✅
#25    | Foot     | Right    | 0.53   | ❌
#26    | Tongue   | Tongue   | 0.99   | ✅
#27    | Left     | Right    | 0.90   | ❌
#28    | Foot     | Foot     | 0.85   | ✅
#29    | Foot     | Left     | 0.93   | ❌
#30    | Foot     | Foot     | 0.87   | ✅
#31    | Left     | Left     | 0.99   | ✅
#32    | Right    | Right    | 1.00   | ✅
#33    | Left     | Left     | 1.00   | ✅
#34    | Right    | Right    | 0.87   | ✅
#35    | Right    | Right    | 1.00   | ✅
#36    | Left     | Left     | 1.00   | ✅
#37    | Right    | Right    | 1.00   | ✅
#38    | Foot     | Right    | 0.98   | ❌
#39    | Right    | Right    | 1.00   | ✅
#40    | Foot     | Foot     | 0.89   | ✅
#41    | Foot     | Left     | 0.64   | ❌
#42    | Tongue   | Tongue   | 1.00   | ✅
#43    | Foot     | Foot     | 0.89   | ✅
#44    | Foot     | Tongue   | 0.51   | ❌
#45    | Tongue   | Right    | 0.99   | ❌
#46    | Tongue   | Right    | 0.76   | ❌
#47    | Tongue   | Foot     | 0.65   | ❌
#48    | Tongue   | Tongue   | 1.00   | ✅
#49    | Tongue   | Right    | 0.75   | ❌
#50    | Foot     | Foot     | 0.94   | ✅
#51    | Right    | Right    | 1.00   | ✅
#52    | Left     | Left     | 0.98   | ✅
#53    | Left     | Right    | 0.89   | ❌
#54    | Right    | Right    | 1.00   | ✅
#55    | Foot     | Foot     | 0.99   | ✅
#56    | Tongue   | Right    | 0.54   | ❌
#57    | Right    | Right    | 1.00   | ✅
#58    | Foot     | Tongue   | 0.44   | ❌
#59    | Left     | Left     | 0.99   | ✅
#60    | Left     | Left     | 1.00   | ✅
#61    | Left     | Left     | 1.00   | ✅
#62    | Tongue   | Tongue   | 1.00   | ✅
#63    | Right    | Right    | 1.00   | ✅
#64    | Right    | Right    | 1.00   | ✅
#65    | Left     | Foot     | 0.55   | ❌
#66    | Left     | Left     | 0.70   | ✅
#67    | Foot     | Foot     | 0.99   | ✅
#68    | Left     | Left     | 0.99   | ✅
#69    | Right    | Right    | 0.92   | ✅
#70    | Tongue   | Right    | 0.54   | ❌
#71    | Tongue   | Tongue   | 1.00   | ✅
#72    | Foot     | Foot     | 1.00   | ✅
#73    | Left     | Left     | 1.00   | ✅
#74    | Tongue   | Tongue   | 0.89   | ✅
#75    | Tongue   | Tongue   | 1.00   | ✅
#76    | Right    | Right    | 1.00   | ✅
#77    | Tongue   | Tongue   | 0.93   | ✅
#78    | Tongue   | Tongue   | 0.97   | ✅
