Trial  | True     | Pred     | Conf   | Result
----------------------------------------------------------------------
#1     | Tongue   | Tongue   | 0.47   | ✅
#2     | Foot     | Right    | 0.99   | ❌
#3     | Right    | Right    | 0.92   | ✅
#4     | Left     | Left     | 0.99   | ✅
#5     | Left     | Foot     | 0.69   | ❌
#6     | Right    | Right    | 0.48   | ✅
#7     | Foot     | Left     | 0.91   | ❌
#8     | Tongue   | Tongue   | 0.53   | ✅
#9     | Right    | Right    | 0.72   | ✅
#10    | Foot     | Foot     | 0.90   | ✅
#11    | Left     | Left     | 0.98   | ✅
#12    | Left     | Left     | 0.97   | ✅
#13    | Left     | Right    | 0.98   | ❌
#14    | Tongue   | Tongue   | 0.67   | ✅
#15    | Right    | Left     | 0.87   | ❌
#16    | Right    | Right    | 0.86   | ✅
#17    | Left     | Left     | 1.00   | ✅
#18    | Left     | Left     | 1.00   | ✅
#19    | Foot     | Foot     | 0.61   | ✅
#20    | Left     | Left     | 1.00   | ✅
#21    | Right    | Right    | 0.72   | ✅
#22    | Tongue   | Tongue   | 0.86   | ✅
#23    | Tongue   | Tongue   | 0.97   | ✅
#24    | Foot     | Left     | 0.48   | ❌
#25    | Left     | Left     | 1.00   | ✅
#26    | Tongue   | Tongue   | 1.00   | ✅
#27    | Tongue   | Right    | 0.66   | ❌
#28    | Right    | Right    | 0.64   | ✅
#29    | Tongue   | Left     | 0.50   | ❌
#30    | Tongue   | Tongue   | 0.96   | ✅
#31    | Right    | Left     | 1.00   | ❌
#32    | Left     | Left     | 0.47   | ✅
#33    | Right    | Right    | 0.77   | ✅
#34    | Foot     | Foot     | 0.90   | ✅
#35    | Foot     | Left     | 0.99   | ❌
#36    | Foot     | Foot     | 0.74   | ✅
#37    | Tongue   | Tongue   | 0.78   | ✅
#38    | Foot     | Foot     | 1.00   | ✅
#39    | Left     | Left     | 1.00   | ✅
#40    | Tongue   | Foot     | 0.77   | ❌
#41    | Right    | Right    | 0.79   | ✅
#42    | Foot     | Foot     | 0.85   | ✅
#43    | Right    | Right    | 0.96   | ✅
#44    | Foot     | Right    | 0.76   | ❌
#45    | Tongue   | Tongue   | 1.00   | ✅
#46    | Right    | Right    | 0.97   | ✅
#47    | Foot     | Foot     | 0.64   | ✅
#48    | Left     | Left     | 1.00   | ✅
#49    | Left     | Left     | 0.89   | ✅
#50    | Left     | Left     | 0.98   | ✅
#51    | Tongue   | Tongue   | 1.00   | ✅
#52    | Right    | Right    | 0.79   | ✅
#53    | Left     | Left     | 0.98   | ✅
#54    | Foot     | Foot     | 0.88   | ✅
#55    | Left     | Left     | 0.99   | ✅
#56    | Foot     | Left     | 0.54   | ❌
#57    | Right    | Right    | 0.59   | ✅
#58    | Tongue   | Tongue   | 1.00   | ✅
#59    | Left     | Left     | 1.00   | ✅
#60    | Foot     | Foot     | 0.95   | ✅
#61    | Foot     | Foot     | 0.69   | ✅
#62    | Left     | Left     | 1.00   | ✅
#63    | Foot     | Foot     | 0.71   | ✅
#64    | Right    | Right    | 0.97   | ✅
#65    | Tongue   | Tongue   | 1.00   | ✅
#66    | Tongue   | Tongue   | 1.00   | ✅
#67    | Tongue   | Tongue   | 0.98   | ✅
#68    | Foot     | Foot     | 0.76   | ✅
#69    | Left     | Right    | 0.44   | ❌
#70    | Tongue   | Left     | 0.80   | ❌
#71    | Right    | Right    | 0.94   | ✅
#72    | Tongue   | Tongue   | 1.00   | ✅
#73    | Right    | Right    | 1.00   | ✅
#74    | Left     | Foot     | 0.81   | ❌
#75    | Foot     | Foot     | 0.99   | ✅
#76    | Right    | Right    | 1.00   | ✅
#77    | Left     | Left     | 1.00   | ✅
#78    | Foot     | Foot     | 0.56   | ✅
#79    | Foot     | Foot     | 0.43   | ✅
#80    | Left     | Left     | 1.00   | ✅
#81    | Foot     | Foot     | 0.55   | ✅
#82    | Tongue   | Left     | 0.58   | ❌
#83    | Tongue   | Left     | 0.94   | ❌
#84    | Right    | Right    | 1.00   | ✅
#85    | Left     | Left     | 1.00   | ✅
#86    | Right    | Right    | 0.77   | ✅
#87    | Tongue   | Tongue   | 1.00   | ✅
#88    | Right    | Right    | 0.70   | ✅
#89    | Tongue   | Tongue   | 1.00   | ✅
#90    | Foot     | Foot     | 0.97   | ✅
#91    | Right    | Left     | 1.00   | ❌
#92    | Right    | Right    | 0.97   | ✅
#93    | Right    | Right    | 1.00   | ✅
#94    | Foot     | Left     | 0.97   | ❌
