Trial  | True     | Pred     | Conf   | Result
----------------------------------------------------------------------
#1     | Left     | Left     | 0.79   | ✅
#2     | Right    | Right    | 1.00   | ✅
#3     | Right    | Right    | 1.00   | ✅
#4     | Left     | Left     | 1.00   | ✅
#5     | Right    | Right    | 1.00   | ✅
#6     | Left     | Left     | 0.99   | ✅
#7     | Right    | Right    | 1.00   | ✅
#8     | Foot     | Foot     | 0.99   | ✅
#9     | Right    | Right    | 1.00   | ✅
#10    | Tongue   | Tongue   | 1.00   | ✅
#11    | Left     | Left     | 1.00   | ✅
#12    | Foot     | Foot     | 0.99   | ✅
#13    | Right    | Right    | 1.00   | ✅
#14    | Left     | Left     | 0.99   | ✅
#15    | Tongue   | Tongue   | 1.00   | ✅
#16    | Tongue   | Tongue   | 1.00   | ✅
#17    | Tongue   | Tongue   | 1.00   | ✅
#18    | Tongue   | Tongue   | 1.00   | ✅
#19    | Tongue   | Tongue   | 1.00   | ✅
#20    | Left     | Left     | 0.98   | ✅
#21    | Foot     | Foot     | 0.98   | ✅
#22    | Right    | Right    | 1.00   | ✅
#23    | Left     | Left     | 1.00   | ✅
#24    | Left     | Foot     | 0.89   | ❌
#25    | Foot     | Foot     | 1.00   | ✅
#26    | Tongue   | Tongue   | 1.00   | ✅
#27    | Left     | Left     | 0.99   | ✅
#28    | Foot     | Foot     | 0.97   | ✅
#29    | Foot     | Tongue   | 0.51   | ❌
#30    | Foot     | Foot     | 1.00   | ✅
#31    | Left     | Left     | 0.98   | ✅
#32    | Right    | Right    | 0.85   | ✅
#33    | Left     | Left     | 1.00   | ✅
#34    | Right    | Right    | 0.94   | ✅
#35    | Right    | Right    | 0.99   | ✅
#36    | Left     | Left     | 1.00   | ✅
#37    | Right    | Tongue   | 0.90   | ❌
#38    | Foot     | Foot     | 0.98   | ✅
#39    | Right    | Right    | 0.99   | ✅
#40    | Foot     | Right    | 0.74   | ❌
#41    | Foot     | Foot     | 0.99   | ✅
#42    | Tongue   | Tongue   | 1.00   | ✅
#43    | Foot     | Foot     | 1.00   | ✅
#44    | Foot     | Tongue   | 0.55   | ❌
#45    | Tongue   | Tongue   | 1.00   | ✅
#46    | Tongue   | Right    | 0.66   | ❌
#47    | Tongue   | Tongue   | 1.00   | ✅
#48    | Tongue   | Tongue   | 0.99   | ✅
#49    | Tongue   | Tongue   | 0.85   | ✅
#50    | Foot     | Foot     | 1.00   | ✅
#51    | Right    | Right    | 1.00   | ✅
#52    | Left     | Left     | 0.64   | ✅
#53    | Left     | Left     | 0.97   | ✅
#54    | Right    | Right    | 1.00   | ✅
#55    | Foot     | Foot     | 0.60   | ✅
#56    | Tongue   | Tongue   | 1.00   | ✅
#57    | Right    | Right    | 0.99   | ✅
#58    | Foot     | Right    | 0.94   | ❌
#59    | Left     | Left     | 0.98   | ✅
#60    | Left     | Left     | 0.99   | ✅
#61    | Left     | Tongue   | 0.86   | ❌
#62    | Tongue   | Tongue   | 0.98   | ✅
#63    | Right    | Right    | 1.00   | ✅
#64    | Right    | Right    | 0.99   | ✅
#65    | Left     | Left     | 0.99   | ✅
#66    | Left     | Left     | 1.00   | ✅
#67    | Foot     | Foot     | 0.86   | ✅
#68    | Left     | Left     | 1.00   | ✅
#69    | Right    | Right    | 1.00   | ✅
#70    | Tongue   | Tongue   | 1.00   | ✅
#71    | Tongue   | Tongue   | 0.87   | ✅
#72    | Foot     | Left     | 0.70   | ❌
#73    | Left     | Foot     | 0.58   | ❌
#74    | Tongue   | Foot     | 0.94   | ❌
#75    | Tongue   | Tongue   | 1.00   | ✅
#76    | Right    | Right    | 1.00   | ✅
#77    | Tongue   | Tongue   | 0.88   | ✅
#78    | Tongue   | Tongue   | 0.95   | ✅
#79    | Right    | Foot     | 0.47   | ❌
#80    | Left     | Foot     | 0.82   | ❌
#81    | Right    | Right    | 1.00   | ✅
#82    | Foot     | Foot     | 0.95   | ✅
#83    | Foot     | Tongue   | 0.97   | ❌
#84    | Foot     | Foot     | 0.81   | ✅
#85    | Tongue   | Tongue   | 1.00   | ✅
#86    | Foot     | Tongue   | 0.93   | ❌
#87    | Left     | Left     | 1.00   | ✅
#88    | Tongue   | Tongue   | 0.86   | ✅
#89    | Right    | Right    | 1.00   | ✅
#90    | Foot     | Right    | 0.82   | ❌
#91    | Right    | Tongue   | 0.94   | ❌
#92    | Foot     | Foot     | 0.78   | ✅
#93    | Tongue   | Tongue   | 1.00   | ✅
#94    | Right    | Right    | 0.97   | ✅
#95    | Foot     | Foot     | 0.96   | ✅
#96    | Left     | Left     | 0.99   | ✅
#97    | Left     | Left     | 0.52   | ✅
#98    | Left     | Foot     | 0.98   | ❌
#99    | Tongue   | Tongue   | 1.00   | ✅
#100   | Right    | Right    | 0.81   | ✅
#101   | Left     | Left     | 1.00   | ✅
#102   | Foot     | Foot     | 1.00   | ✅
#103   | Left     | Left     | 0.98   | ✅
#104   | Foot     | Foot     | 0.93   | ✅
#105   | Right    | Right    | 1.00   | ✅
#106   | Tongue   | Tongue   | 0.91   | ✅
#107   | Left     | Left     | 1.00   | ✅
#108   | Foot     | Foot     | 1.00   | ✅
#109   | Foot     | Foot     | 0.99   | ✅
#110   | Left     | Left     | 1.00   | ✅
#111   | Foot     | Foot     | 0.92   | ✅
#112   | Right    | Right    | 0.98   | ✅
#113   | Tongue   | Tongue   | 1.00   | ✅
#114   | Tongue   | Tongue   | 1.00   | ✅
#115   | Tongue   | Tongue   | 1.00   | ✅
#116   | Foot     | Foot     | 0.98   | ✅
#117   | Left     | Left     | 1.00   | ✅
#118   | Tongue   | Tongue   | 0.99   | ✅
#119   | Right    | Right    | 1.00   | ✅
#120   | Tongue   | Tongue   | 1.00   | ✅
#121   | Right    | Right    | 1.00   | ✅
#122   | Left     | Left     | 1.00   | ✅
#123   | Foot     | Right    | 0.89   | ❌
#124   | Right    | Right    | 1.00   | ✅
#125   | Left     | Left     | 0.99   | ✅
#126   | Foot     | Tongue   | 0.39   | ❌
#127   | Foot     | Foot     | 0.99   | ✅
#128   | Left     | Left     | 0.97   | ✅
#129   | Foot     | Foot     | 0.99   | ✅
#130   | Tongue   | Tongue   | 1.00   | ✅
#131   | Tongue   | Foot     | 0.98   | ❌
#132   | Right    | Foot     | 0.87   | ❌
#133   | Left     | Left     | 1.00   | ✅
#134   | Right    | Right    | 1.00   | ✅
#135   | Tongue   | Tongue   | 0.99   | ✅
#136   | Right    | Right    | 0.56   | ✅
#137   | Tongue   | Tongue   | 1.00   | ✅
#138   | Foot     | Foot     | 0.97   | ✅
#139   | Right    | Tongue   | 0.93   | ❌
#140   | Right    | Right    | 0.98   | ✅
#141   | Right    | Right    | 1.00   | ✅
#142   | Foot     | Left     | 0.71   | ❌
