Trial  | True     | Pred     | Conf   | Result
----------------------------------------------------------------------
#1     | Left     | Left     | 0.93   | ✅
#2     | Right    | Right    | 0.89   | ✅
#3     | Right    | Right    | 0.58   | ✅
#4     | Left     | Left     | 0.93   | ✅
#5     | Right    | Right    | 0.98   | ✅
#6     | Left     | Left     | 0.89   | ✅
#7     | Right    | Left     | 0.56   | ❌
#8     | Foot     | Foot     | 0.99   | ✅
#9     | Right    | Right    | 0.99   | ✅
#10    | Tongue   | Tongue   | 0.76   | ✅
#11    | Left     | Left     | 0.87   | ✅
#12    | Foot     | Foot     | 0.99   | ✅
#13    | Right    | Right    | 0.58   | ✅
#14    | Left     | Left     | 1.00   | ✅
#15    | Tongue   | Tongue   | 1.00   | ✅
#16    | Tongue   | Tongue   | 1.00   | ✅
#17    | Tongue   | Tongue   | 0.97   | ✅
#18    | Tongue   | Tongue   | 0.79   | ✅
#19    | Tongue   | Tongue   | 0.68   | ✅
#20    | Left     | Left     | 0.87   | ✅
#21    | Foot     | Foot     | 0.98   | ✅
#22    | Right    | Right    | 0.95   | ✅
#23    | Left     | Left     | 1.00   | ✅
#24    | Left     | Left     | 0.99   | ✅
#25    | Foot     | Foot     | 0.49   | ✅
#26    | Tongue   | Tongue   | 0.99   | ✅
#27    | Left     | Left     | 0.96   | ✅
#28    | Foot     | Foot     | 0.97   | ✅
#29    | Foot     | Foot     | 0.98   | ✅
#30    | Foot     | Foot     | 0.59   | ✅
#31    | Left     | Right    | 0.96   | ❌
#32    | Right    | Foot     | 0.75   | ❌
#33    | Left     | Left     | 0.98   | ✅
#34    | Right    | Right    | 0.99   | ✅
#35    | Right    | Right    | 0.92   | ✅
#36    | Left     | Left     | 1.00   | ✅
#37    | Right    | Right    | 0.99   | ✅
#38    | Foot     | Foot     | 0.95   | ✅
#39    | Right    | Right    | 0.91   | ✅
#40    | Foot     | Foot     | 0.96   | ✅
#41    | Foot     | Foot     | 0.99   | ✅
#42    | Tongue   | Tongue   | 1.00   | ✅
#43    | Foot     | Foot     | 0.99   | ✅
#44    | Foot     | Right    | 0.51   | ❌
#45    | Tongue   | Tongue   | 1.00   | ✅
#46    | Tongue   | Tongue   | 1.00   | ✅
#47    | Tongue   | Tongue   | 1.00   | ✅
#48    | Tongue   | Tongue   | 1.00   | ✅
#49    | Tongue   | Right    | 0.90   | ❌
#50    | Foot     | Foot     | 1.00   | ✅
#51    | Right    | Left     | 0.63   | ❌
#52    | Left     | Left     | 0.99   | ✅
#53    | Left     | Left     | 0.84   | ✅
#54    | Right    | Right    | 0.99   | ✅
#55    | Foot     | Foot     | 0.98   | ✅
#56    | Tongue   | Tongue   | 1.00   | ✅
#57    | Right    | Right    | 0.99   | ✅
#58    | Foot     | Foot     | 0.86   | ✅
#59    | Left     | Foot     | 0.97   | ❌
#60    | Left     | Foot     | 0.97   | ❌
#61    | Left     | Left     | 0.99   | ✅
#62    | Tongue   | Tongue   | 1.00   | ✅
#63    | Right    | Right    | 0.96   | ✅
#64    | Right    | Foot     | 0.75   | ❌
#65    | Left     | Left     | 1.00   | ✅
#66    | Left     | Foot     | 0.98   | ❌
#67    | Foot     | Foot     | 1.00   | ✅
#68    | Left     | Left     | 1.00   | ✅
#69    | Right    | Foot     | 0.55   | ❌
#70    | Tongue   | Tongue   | 0.97   | ✅
#71    | Tongue   | Tongue   | 0.99   | ✅
#72    | Foot     | Foot     | 1.00   | ✅
#73    | Left     | Left     | 1.00   | ✅
#74    | Tongue   | Tongue   | 1.00   | ✅
#75    | Tongue   | Tongue   | 1.00   | ✅
#76    | Right    | Right    | 1.00   | ✅
#77    | Tongue   | Tongue   | 1.00   | ✅
#78    | Tongue   | Tongue   | 1.00   | ✅
#79    | Right    | Right    | 0.89   | ✅
#80    | Left     | Left     | 1.00   | ✅
#81    | Right    | Right    | 0.99   | ✅
#82    | Foot     | Foot     | 1.00   | ✅
#83    | Foot     | Foot     | 0.98   | ✅
#84    | Foot     | Left     | 0.96   | ❌
#85    | Tongue   | Tongue   | 0.80   | ✅
#86    | Foot     | Foot     | 1.00   | ✅
#87    | Left     | Left     | 0.98   | ✅
#88    | Tongue   | Tongue   | 1.00   | ✅
#89    | Right    | Right    | 1.00   | ✅
#90    | Foot     | Foot     | 0.99   | ✅
#91    | Right    | Left     | 0.72   | ❌
#92    | Foot     | Foot     | 0.98   | ✅
#93    | Tongue   | Tongue   | 1.00   | ✅
#94    | Right    | Foot     | 0.92   | ❌
#95    | Foot     | Foot     | 0.98   | ✅
#96    | Left     | Left     | 0.99   | ✅
#97    | Left     | Tongue   | 0.51   | ❌
#98    | Left     | Left     | 1.00   | ✅
#99    | Tongue   | Tongue   | 1.00   | ✅
#100   | Right    | Right    | 0.98   | ✅
#101   | Left     | Left     | 0.99   | ✅
#102   | Foot     | Foot     | 0.99   | ✅
#103   | Left     | Left     | 0.97   | ✅
#104   | Foot     | Foot     | 0.99   | ✅
#105   | Right    | Right    | 0.89   | ✅
#106   | Tongue   | Tongue   | 0.99   | ✅
#107   | Left     | Left     | 0.99   | ✅
#108   | Foot     | Foot     | 0.96   | ✅
#109   | Foot     | Tongue   | 0.93   | ❌
#110   | Left     | Left     | 0.99   | ✅
#111   | Foot     | Tongue   | 0.99   | ❌
#112   | Right    | Tongue   | 0.94   | ❌
#113   | Tongue   | Foot     | 0.95   | ❌
#114   | Tongue   | Tongue   | 0.96   | ✅
#115   | Tongue   | Tongue   | 1.00   | ✅
#116   | Foot     | Foot     | 0.99   | ✅
#117   | Left     | Left     | 0.57   | ✅
#118   | Tongue   | Tongue   | 1.00   | ✅
#119   | Right    | Tongue   | 0.85   | ❌
#120   | Tongue   | Tongue   | 1.00   | ✅
#121   | Right    | Right    | 0.93   | ✅
#122   | Left     | Foot     | 0.48   | ❌
#123   | Foot     | Foot     | 0.70   | ✅
#124   | Right    | Right    | 1.00   | ✅
#125   | Left     | Left     | 0.99   | ✅
#126   | Foot     | Foot     | 0.97   | ✅
#127   | Foot     | Right    | 0.95   | ❌
#128   | Left     | Left     | 0.89   | ✅
#129   | Foot     | Foot     | 0.99   | ✅
#130   | Tongue   | Tongue   | 1.00   | ✅
#131   | Tongue   | Tongue   | 1.00   | ✅
#132   | Right    | Right    | 1.00   | ✅
#133   | Left     | Left     | 0.88   | ✅
#134   | Right    | Right    | 1.00   | ✅
#135   | Tongue   | Tongue   | 0.97   | ✅
#136   | Right    | Right    | 0.94   | ✅
#137   | Tongue   | Tongue   | 1.00   | ✅
#138   | Foot     | Foot     | 0.99   | ✅
#139   | Right    | Right    | 0.61   | ✅
#140   | Right    | Right    | 0.98   | ✅
#141   | Right    | Foot     | 0.63   | ❌
#142   | Foot     | Foot     | 0.99   | ✅
#143   | Tongue   | Tongue   | 0.88   | ✅
#144   | Left     | Left     | 0.64   | ✅
#145   | Right    | Right    | 0.63   | ✅
#146   | Tongue   | Tongue   | 1.00   | ✅
#147   | Left     | Left     | 0.96   | ✅
#148   | Foot     | Foot     | 0.99   | ✅
