Trial  | True     | Pred     | Conf   | Result
----------------------------------------------------------------------
#1     | Left     | Right    | 0.49   | ❌
#2     | Right    | Right    | 0.99   | ✅
#3     | Right    | Right    | 0.95   | ✅
#4     | Left     | Left     | 0.97   | ✅
#5     | Right    | Right    | 0.95   | ✅
#6     | Left     | Foot     | 0.66   | ❌
#7     | Right    | Foot     | 0.87   | ❌
#8     | Foot     | Foot     | 0.99   | ✅
#9     | Right    | Right    | 0.92   | ✅
#10    | Tongue   | Tongue   | 1.00   | ✅
#11    | Left     | Right    | 0.97   | ❌
#12    | Foot     | Right    | 0.58   | ❌
#13    | Right    | Right    | 0.98   | ✅
#14    | Left     | Foot     | 0.95   | ❌
#15    | Tongue   | Right    | 1.00   | ❌
#16    | Tongue   | Left     | 0.56   | ❌
#17    | Tongue   | Tongue   | 1.00   | ✅
#18    | Tongue   | Tongue   | 0.98   | ✅
#19    | Tongue   | Foot     | 0.95   | ❌
#20    | Left     | Right    | 0.58   | ❌
#21    | Foot     | Foot     | 1.00   | ✅
#22    | Right    | Right    | 1.00   | ✅
#23    | Left     | Left     | 0.51   | ✅
#24    | Left     | Left     | 1.00   | ✅
#25    | Foot     | Foot     | 1.00   | ✅
#26    | Tongue   | Tongue   | 1.00   | ✅
#27    | Left     | Foot     | 0.78   | ❌
#28    | Foot     | Right    | 0.55   | ❌
#29    | Foot     | Foot     | 0.85   | ✅
#30    | Foot     | Foot     | 0.99   | ✅
#31    | Left     | Right    | 0.53   | ❌
#32    | Right    | Right    | 1.00   | ✅
#33    | Left     | Right    | 0.50   | ❌
#34    | Right    | Right    | 0.98   | ✅
#35    | Right    | Right    | 1.00   | ✅
#36    | Left     | Left     | 0.94   | ✅
#37    | Right    | Right    | 1.00   | ✅
#38    | Foot     | Right    | 0.38   | ❌
#39    | Right    | Right    | 1.00   | ✅
#40    | Foot     | Left     | 0.76   | ❌
#41    | Foot     | Foot     | 0.96   | ✅
#42    | Tongue   | Right    | 0.85   | ❌
#43    | Foot     | Foot     | 1.00   | ✅
#44    | Foot     | Left     | 0.38   | ❌
#45    | Tongue   | Tongue   | 0.99   | ✅
#46    | Tongue   | Foot     | 0.92   | ❌
#47    | Tongue   | Right    | 0.93   | ❌
#48    | Tongue   | Tongue   | 0.93   | ✅
#49    | Tongue   | Left     | 1.00   | ❌
#50    | Foot     | Left     | 1.00   | ❌
#51    | Right    | Left     | 0.49   | ❌
#52    | Left     | Right    | 0.50   | ❌
#53    | Left     | Left     | 0.44   | ✅
#54    | Right    | Left     | 0.97   | ❌
#55    | Foot     | Left     | 0.77   | ❌
#56    | Tongue   | Left     | 0.52   | ❌
#57    | Right    | Right    | 0.49   | ✅
#58    | Foot     | Left     | 0.69   | ❌
#59    | Left     | Left     | 0.71   | ✅
#60    | Left     | Left     | 0.69   | ✅
#61    | Left     | Left     | 0.73   | ✅
#62    | Tongue   | Left     | 0.62   | ❌
#63    | Right    | Left     | 0.74   | ❌
#64    | Right    | Right    | 0.56   | ✅
#65    | Left     | Left     | 0.52   | ✅
#66    | Left     | Left     | 0.96   | ✅
#67    | Foot     | Left     | 0.89   | ❌
#68    | Left     | Right    | 0.99   | ❌
#69    | Right    | Left     | 0.56   | ❌
#70    | Tongue   | Left     | 0.63   | ❌
#71    | Tongue   | Right    | 0.39   | ❌
#72    | Foot     | Left     | 0.64   | ❌
#73    | Left     | Left     | 0.99   | ✅
#74    | Tongue   | Left     | 0.85   | ❌
#75    | Tongue   | Right    | 0.96   | ❌
#76    | Right    | Right    | 0.89   | ✅
#77    | Tongue   | Tongue   | 0.70   | ✅
#78    | Tongue   | Tongue   | 0.86   | ✅
#79    | Right    | Left     | 0.48   | ❌
#80    | Left     | Left     | 0.72   | ✅
#81    | Right    | Left     | 0.78   | ❌
#82    | Foot     | Foot     | 0.55   | ✅
#83    | Foot     | Left     | 0.94   | ❌
#84    | Foot     | Left     | 0.37   | ❌
#85    | Tongue   | Left     | 0.91   | ❌
#86    | Foot     | Foot     | 0.97   | ✅
#87    | Left     | Left     | 0.79   | ✅
#88    | Tongue   | Right    | 0.49   | ❌
#89    | Right    | Right    | 0.98   | ✅
#90    | Foot     | Left     | 0.73   | ❌
#91    | Right    | Right    | 0.85   | ✅
#92    | Foot     | Foot     | 0.50   | ✅
#93    | Tongue   | Left     | 0.75   | ❌
#94    | Right    | Right    | 0.50   | ✅
#95    | Foot     | Foot     | 0.93   | ✅
#96    | Left     | Left     | 1.00   | ✅
#97    | Left     | Tongue   | 0.82   | ❌
#98    | Left     | Left     | 0.81   | ✅
#99    | Tongue   | Left     | 0.62   | ❌
#100   | Right    | Left     | 0.57   | ❌
#101   | Left     | Left     | 0.80   | ✅
#102   | Foot     | Left     | 0.47   | ❌
#103   | Left     | Left     | 0.83   | ✅
#104   | Foot     | Left     | 0.42   | ❌
#105   | Right    | Left     | 0.63   | ❌
#106   | Tongue   | Left     | 0.63   | ❌
#107   | Left     | Left     | 0.96   | ✅
#108   | Foot     | Left     | 0.68   | ❌
#109   | Foot     | Left     | 0.81   | ❌
#110   | Left     | Right    | 0.50   | ❌
#111   | Foot     | Left     | 0.67   | ❌
#112   | Right    | Right    | 0.92   | ✅
#113   | Tongue   | Left     | 0.71   | ❌
#114   | Tongue   | Left     | 0.54   | ❌
#115   | Tongue   | Right    | 0.47   | ❌
#116   | Foot     | Left     | 0.82   | ❌
#117   | Left     | Left     | 0.74   | ✅
#118   | Tongue   | Left     | 0.68   | ❌
#119   | Right    | Right    | 0.40   | ✅
#120   | Tongue   | Left     | 0.51   | ❌
#121   | Right    | Right    | 1.00   | ✅
#122   | Left     | Right    | 0.94   | ❌
#123   | Foot     | Foot     | 0.67   | ✅
#124   | Right    | Right    | 1.00   | ✅
#125   | Left     | Left     | 0.76   | ✅
#126   | Foot     | Right    | 0.35   | ❌
#127   | Foot     | Left     | 0.69   | ❌
#128   | Left     | Right    | 0.69   | ❌
#129   | Foot     | Left     | 0.90   | ❌
#130   | Tongue   | Right    | 0.80   | ❌
#131   | Tongue   | Foot     | 0.75   | ❌
#132   | Right    | Right    | 0.99   | ✅
#133   | Left     | Right    | 0.50   | ❌
#134   | Right    | Right    | 0.58   | ✅
#135   | Tongue   | Right    | 0.86   | ❌
#136   | Right    | Right    | 1.00   | ✅
#137   | Tongue   | Right    | 0.74   | ❌
#138   | Foot     | Foot     | 0.69   | ✅
#139   | Right    | Right    | 1.00   | ✅
#140   | Right    | Right    | 0.98   | ✅
#141   | Right    | Right    | 1.00   | ✅
#142   | Foot     | Foot     | 0.99   | ✅
#143   | Tongue   | Foot     | 0.93   | ❌
#144   | Left     | Left     | 0.99   | ✅
#145   | Right    | Foot     | 0.55   | ❌
#146   | Tongue   | Left     | 0.60   | ❌
#147   | Left     | Right    | 0.51   | ❌
#148   | Foot     | Left     | 0.66   | ❌
#149   | Foot     | Foot     | 0.85   | ✅
#150   | Tongue   | Right    | 0.74   | ❌
#151   | Left     | Right    | 0.86   | ❌
#152   | Left     | Right    | 0.45   | ❌
#153   | Foot     | Foot     | 0.49   | ✅
#154   | Right    | Right    | 0.99   | ✅
#155   | Tongue   | Left     | 0.71   | ❌
#156   | Tongue   | Left     | 0.86   | ❌
#157   | Tongue   | Left     | 0.76   | ❌
#158   | Right    | Left     | 0.76   | ❌
#159   | Left     | Right    | 0.68   | ❌
#160   | Foot     | Right    | 0.90   | ❌
#161   | Right    | Right    | 0.90   | ✅
#162   | Tongue   | Right    | 0.71   | ❌
#163   | Left     | Left     | 0.84   | ✅
#164   | Tongue   | Tongue   | 1.00   | ✅
#165   | Foot     | Left     | 0.76   | ❌
#166   | Right    | Right    | 0.90   | ✅
#167   | Tongue   | Right    | 0.48   | ❌
#168   | Tongue   | Left     | 0.44   | ❌
#169   | Left     | Left     | 0.94   | ✅
#170   | Right    | Right    | 0.99   | ✅
#171   | Right    | Foot     | 0.99   | ❌
#172   | Foot     | Foot     | 0.96   | ✅
#173   | Tongue   | Tongue   | 0.98   | ✅
#174   | Right    | Right    | 0.99   | ✅
#175   | Left     | Right    | 0.74   | ❌
#176   | Left     | Left     | 0.51   | ✅
#177   | Tongue   | Right    | 0.99   | ❌
#178   | Right    | Right    | 0.98   | ✅
#179   | Left     | Left     | 0.95   | ✅
#180   | Foot     | Foot     | 0.99   | ✅
#181   | Right    | Right    | 0.99   | ✅
#182   | Right    | Right    | 0.51   | ✅
#183   | Foot     | Foot     | 0.99   | ✅
#184   | Left     | Right    | 0.69   | ❌
#185   | Tongue   | Left     | 0.65   | ❌
#186   | Foot     | Foot     | 0.99   | ✅
#187   | Foot     | Foot     | 0.55   | ✅
#188   | Foot     | Left     | 0.71   | ❌
#189   | Foot     | Foot     | 0.99   | ✅
#190   | Left     | Left     | 0.74   | ✅
#191   | Right    | Tongue   | 0.99   | ❌
#192   | Left     | Left     | 0.84   | ✅
#193   | Right    | Left     | 0.78   | ❌
#194   | Left     | Left     | 0.58   | ✅
#195   | Left     | Left     | 0.85   | ✅
#196   | Foot     | Left     | 0.53   | ❌
#197   | Foot     | Right    | 0.85   | ❌
#198   | Right    | Right    | 0.58   | ✅
#199   | Foot     | Left     | 0.64   | ❌
#200   | Tongue   | Left     | 0.53   | ❌
#201   | Left     | Right    | 0.65   | ❌
#202   | Tongue   | Left     | 0.95   | ❌
#203   | Left     | Left     | 0.95   | ✅
#204   | Left     | Left     | 0.85   | ✅
#205   | Right    | Right    | 0.95   | ✅
#206   | Tongue   | Left     | 0.55   | ❌
#207   | Foot     | Left     | 0.59   | ❌
#208   | Right    | Left     | 0.48   | ❌
#209   | Tongue   | Tongue   | 0.61   | ✅
#210   | Foot     | Foot     | 0.97   | ✅
#211   | Tongue   | Tongue   | 0.88   | ✅
#212   | Foot     | Left     | 0.80   | ❌
#213   | Tongue   | Right    | 0.45   | ❌
#214   | Right    | Right    | 0.99   | ✅
#215   | Right    | Right    | 1.00   | ✅
#216   | Tongue   | Left     | 0.64   | ❌
#217   | Left     | Foot     | 0.77   | ❌
#218   | Right    | Right    | 0.87   | ✅
#219   | Right    | Right    | 1.00   | ✅
#220   | Right    | Right    | 0.97   | ✅
#221   | Foot     | Right    | 0.62   | ❌
#222   | Tongue   | Right    | 0.45   | ❌
#223   | Left     | Right    | 0.98   | ❌
#224   | Tongue   | Left     | 0.49   | ❌
#225   | Left     | Right    | 0.96   | ❌
#226   | Foot     | Left     | 0.44   | ❌
#227   | Left     | Left     | 0.71   | ✅
#228   | Tongue   | Right    | 0.92   | ❌
#229   | Left     | Left     | 0.96   | ✅
#230   | Foot     | Foot     | 0.59   | ✅
#231   | Left     | Left     | 0.73   | ✅
#232   | Right    | Right    | 0.94   | ✅
#233   | Foot     | Foot     | 0.36   | ✅
#234   | Foot     | Left     | 0.79   | ❌
#235   | Tongue   | Left     | 0.85   | ❌
#236   | Left     | Left     | 0.83   | ✅
#237   | Right    | Right    | 0.96   | ✅
#238   | Tongue   | Tongue   | 0.53   | ✅
#239   | Right    | Right    | 0.76   | ✅
#240   | Foot     | Left     | 0.56   | ❌
#241   | Foot     | Left     | 0.55   | ❌
#242   | Left     | Left     | 0.61   | ✅
#243   | Tongue   | Left     | 0.47   | ❌
#244   | Right    | Right    | 0.61   | ✅
#245   | Tongue   | Left     | 0.43   | ❌
#246   | Left     | Left     | 0.67   | ✅
#247   | Left     | Left     | 0.92   | ✅
#248   | Foot     | Left     | 0.64   | ❌
#249   | Foot     | Foot     | 0.94   | ✅
#250   | Right    | Right    | 0.99   | ✅
#251   | Tongue   | Right    | 0.43   | ❌
#252   | Right    | Right    | 1.00   | ✅
#253   | Right    | Right    | 0.94   | ✅
#254   | Left     | Right    | 0.47   | ❌
#255   | Right    | Left     | 0.45   | ❌
#256   | Tongue   | Tongue   | 1.00   | ✅
#257   | Tongue   | Tongue   | 1.00   | ✅
#258   | Right    | Foot     | 0.90   | ❌
#259   | Right    | Right    | 0.62   | ✅
#260   | Right    | Right    | 0.79   | ✅
#261   | Right    | Left     | 0.67   | ❌
#262   | Tongue   | Tongue   | 0.98   | ✅
#263   | Tongue   | Tongue   | 1.00   | ✅
#264   | Foot     | Left     | 0.49   | ❌
#265   | Tongue   | Tongue   | 0.75   | ✅
#266   | Left     | Right    | 0.89   | ❌
#267   | Right    | Right    | 0.96   | ✅
#268   | Foot     | Foot     | 0.69   | ✅
#269   | Right    | Foot     | 0.71   | ❌
#270   | Left     | Right    | 0.56   | ❌
#271   | Tongue   | Foot     | 0.49   | ❌
#272   | Left     | Left     | 0.96   | ✅
#273   | Tongue   | Tongue   | 0.79   | ✅
#274   | Left     | Tongue   | 0.46   | ❌
#275   | Left     | Left     | 0.81   | ✅
#276   | Left     | Tongue   | 0.88   | ❌
#277   | Left     | Foot     | 0.29   | ❌
#278   | Foot     | Foot     | 0.90   | ✅
#279   | Foot     | Foot     | 0.91   | ✅
#280   | Tongue   | Foot     | 0.51   | ❌
#281   | Right    | Right    | 0.99   | ✅
#282   | Foot     | Foot     | 1.00   | ✅
