Trial  | True     | Pred     | Conf   | Result
----------------------------------------------------------------------
#1     | Left     | Tongue   | 0.55   | ❌
#2     | Right    | Right    | 0.64   | ✅
#3     | Right    | Left     | 0.89   | ❌
#4     | Left     | Tongue   | 0.59   | ❌
#5     | Right    | Tongue   | 0.70   | ❌
#6     | Left     | Left     | 1.00   | ✅
#7     | Right    | Left     | 0.97   | ❌
#8     | Foot     | Foot     | 0.72   | ✅
#9     | Right    | Right    | 0.53   | ✅
#10    | Tongue   | Foot     | 0.57   | ❌
#11    | Left     | Left     | 0.98   | ✅
#12    | Foot     | Left     | 0.83   | ❌
#13    | Right    | Right    | 0.91   | ✅
#14    | Left     | Left     | 0.52   | ✅
#15    | Tongue   | Tongue   | 0.80   | ✅
#16    | Tongue   | Left     | 0.59   | ❌
#17    | Tongue   | Tongue   | 0.99   | ✅
#18    | Tongue   | Tongue   | 0.99   | ✅
#19    | Tongue   | Tongue   | 0.99   | ✅
#20    | Left     | Left     | 0.97   | ✅
#21    | Foot     | Foot     | 0.99   | ✅
#22    | Right    | Tongue   | 0.71   | ❌
#23    | Left     | Left     | 0.98   | ✅
#24    | Left     | Left     | 0.84   | ✅
#25    | Foot     | Foot     | 1.00   | ✅
#26    | Tongue   | Tongue   | 0.36   | ✅
#27    | Left     | Left     | 0.61   | ✅
#28    | Foot     | Foot     | 0.96   | ✅
#29    | Foot     | Right    | 0.93   | ❌
#30    | Foot     | Foot     | 0.42   | ✅
#31    | Left     | Left     | 0.99   | ✅
#32    | Right    | Right    | 0.98   | ✅
#33    | Left     | Left     | 0.70   | ✅
#34    | Right    | Right    | 0.99   | ✅
#35    | Right    | Right    | 0.85   | ✅
#36    | Left     | Left     | 0.97   | ✅
#37    | Right    | Right    | 0.84   | ✅
#38    | Foot     | Foot     | 0.81   | ✅
#39    | Right    | Left     | 0.45   | ❌
#40    | Foot     | Foot     | 0.99   | ✅
#41    | Foot     | Foot     | 0.96   | ✅
#42    | Tongue   | Tongue   | 0.91   | ✅
#43    | Foot     | Foot     | 1.00   | ✅
#44    | Foot     | Foot     | 0.93   | ✅
#45    | Tongue   | Tongue   | 0.34   | ✅
#46    | Tongue   | Foot     | 0.52   | ❌
#47    | Tongue   | Left     | 0.94   | ❌
#48    | Tongue   | Left     | 0.89   | ❌
#49    | Tongue   | Right    | 0.64   | ❌
#50    | Foot     | Tongue   | 0.99   | ❌
#51    | Right    | Right    | 0.65   | ✅
#52    | Left     | Tongue   | 0.48   | ❌
#53    | Left     | Left     | 0.99   | ✅
#54    | Right    | Right    | 0.92   | ✅
#55    | Foot     | Right    | 0.99   | ❌
#56    | Tongue   | Left     | 0.70   | ❌
#57    | Right    | Right    | 0.97   | ✅
#58    | Foot     | Foot     | 0.99   | ✅
#59    | Left     | Left     | 0.83   | ✅
#60    | Left     | Left     | 0.55   | ✅
#61    | Left     | Left     | 0.92   | ✅
#62    | Tongue   | Tongue   | 1.00   | ✅
#63    | Right    | Tongue   | 0.77   | ❌
#64    | Right    | Right    | 0.96   | ✅
#65    | Left     | Left     | 0.98   | ✅
#66    | Left     | Left     | 0.95   | ✅
#67    | Foot     | Tongue   | 0.87   | ❌
#68    | Left     | Left     | 0.97   | ✅
#69    | Right    | Right    | 0.86   | ✅
#70    | Tongue   | Tongue   | 0.98   | ✅
#71    | Tongue   | Tongue   | 0.99   | ✅
#72    | Foot     | Foot     | 0.74   | ✅
#73    | Left     | Right    | 0.87   | ❌
#74    | Tongue   | Right    | 0.70   | ❌
#75    | Tongue   | Foot     | 0.46   | ❌
#76    | Right    | Left     | 0.97   | ❌
#77    | Tongue   | Tongue   | 1.00   | ✅
#78    | Tongue   | Left     | 0.59   | ❌
#79    | Right    | Right    | 0.95   | ✅
#80    | Left     | Left     | 0.99   | ✅
#81    | Right    | Right    | 0.97   | ✅
#82    | Foot     | Foot     | 0.67   | ✅
#83    | Foot     | Foot     | 0.88   | ✅
#84    | Foot     | Left     | 0.99   | ❌
#85    | Tongue   | Tongue   | 0.97   | ✅
#86    | Foot     | Right    | 0.80   | ❌
#87    | Left     | Left     | 0.90   | ✅
#88    | Tongue   | Left     | 0.93   | ❌
#89    | Right    | Right    | 0.98   | ✅
#90    | Foot     | Foot     | 0.64   | ✅
#91    | Right    | Tongue   | 0.41   | ❌
#92    | Foot     | Foot     | 0.99   | ✅
#93    | Tongue   | Tongue   | 0.94   | ✅
#94    | Right    | Right    | 0.97   | ✅
#95    | Foot     | Foot     | 0.64   | ✅
#96    | Left     | Foot     | 0.48   | ❌
#97    | Left     | Right    | 0.48   | ❌
#98    | Left     | Left     | 0.99   | ✅
#99    | Tongue   | Tongue   | 0.79   | ✅
#100   | Right    | Tongue   | 0.99   | ❌
#101   | Left     | Left     | 0.99   | ✅
#102   | Foot     | Foot     | 0.88   | ✅
#103   | Left     | Left     | 1.00   | ✅
#104   | Foot     | Foot     | 0.99   | ✅
#105   | Right    | Right    | 0.99   | ✅
#106   | Tongue   | Tongue   | 0.98   | ✅
#107   | Left     | Left     | 0.78   | ✅
#108   | Foot     | Foot     | 0.97   | ✅
#109   | Foot     | Foot     | 0.70   | ✅
#110   | Left     | Left     | 0.94   | ✅
#111   | Foot     | Left     | 0.83   | ❌
#112   | Right    | Right    | 0.68   | ✅
#113   | Tongue   | Tongue   | 0.77   | ✅
#114   | Tongue   | Tongue   | 1.00   | ✅
#115   | Tongue   | Tongue   | 0.54   | ✅
#116   | Foot     | Foot     | 0.51   | ✅
#117   | Left     | Left     | 0.91   | ✅
#118   | Tongue   | Tongue   | 0.99   | ✅
#119   | Right    | Left     | 0.89   | ❌
#120   | Tongue   | Tongue   | 0.99   | ✅
#121   | Right    | Right    | 0.98   | ✅
#122   | Left     | Right    | 0.88   | ❌
#123   | Foot     | Foot     | 0.97   | ✅
#124   | Right    | Right    | 0.97   | ✅
#125   | Left     | Right    | 0.52   | ❌
#126   | Foot     | Tongue   | 0.62   | ❌
#127   | Foot     | Tongue   | 0.85   | ❌
#128   | Left     | Tongue   | 0.99   | ❌
#129   | Foot     | Left     | 0.96   | ❌
#130   | Tongue   | Left     | 0.50   | ❌
#131   | Tongue   | Tongue   | 0.72   | ✅
#132   | Right    | Right    | 0.99   | ✅
#133   | Left     | Left     | 0.63   | ✅
#134   | Right    | Right    | 0.93   | ✅
#135   | Tongue   | Tongue   | 0.91   | ✅
#136   | Right    | Right    | 0.99   | ✅
#137   | Tongue   | Tongue   | 0.54   | ✅
#138   | Foot     | Foot     | 0.43   | ✅
#139   | Right    | Right    | 0.98   | ✅
#140   | Right    | Tongue   | 0.97   | ❌
#141   | Right    | Right    | 0.98   | ✅
#142   | Foot     | Foot     | 0.98   | ✅
#143   | Tongue   | Tongue   | 1.00   | ✅
#144   | Left     | Right    | 0.42   | ❌
#145   | Right    | Foot     | 0.98   | ❌
#146   | Tongue   | Tongue   | 0.98   | ✅
#147   | Left     | Left     | 0.55   | ✅
#148   | Foot     | Foot     | 0.81   | ✅
#149   | Foot     | Foot     | 0.95   | ✅
#150   | Tongue   | Tongue   | 0.99   | ✅
#151   | Left     | Left     | 0.79   | ✅
#152   | Left     | Left     | 1.00   | ✅
#153   | Foot     | Foot     | 0.95   | ✅
#154   | Right    | Left     | 0.78   | ❌
